MTPR from curr14.mtp, Database: group1.cfg
validation set: group2.cfg
Found configuration with mindist=2.00222, MTP's mindist will be decreased
BFGS iterations count set to 3000
BFGS convergence tolerance set to 0.001
Energy weight: 1
Force weight: 0.01
Stress weight: 0
MTPR parallel training started
BFGS iter 645: f=0.0144163
BFGS iter 646: f=0.0144159
BFGS iter 647: f=0.0144155
BFGS iter 648: f=0.014415
BFGS iter 649: f=0.0144145
BFGS iter 650: f=0.0144069
BFGS iter 651: f=0.0144047
BFGS iter 652: f=0.0144041
BFGS iter 653: f=0.0144037
BFGS iter 654: f=0.0144033
BFGS iter 655: f=0.0144028
BFGS iter 656: f=0.0144023
BFGS iter 657: f=0.0144018
BFGS iter 658: f=0.0144011
BFGS iter 659: f=0.0144005
BFGS iter 660: f=0.0143999
BFGS iter 661: f=0.0143994
BFGS iter 662: f=0.0143989
BFGS iter 663: f=0.0143983
BFGS iter 664: f=0.0143978
BFGS iter 665: f=0.0143973
BFGS iter 666: f=0.0143968
BFGS iter 667: f=0.0143964
BFGS iter 668: f=0.014396
BFGS iter 669: f=0.0143957
BFGS iter 670: f=0.0143953
BFGS iter 671: f=0.0143948
BFGS iter 672: f=0.0143944
BFGS iter 673: f=0.0143938
BFGS iter 674: f=0.0143934
BFGS iter 675: f=0.0143929
BFGS iter 676: f=0.0143923
BFGS iter 677: f=0.0143918
BFGS iter 678: f=0.0143913
BFGS iter 679: f=0.0143908
BFGS iter 680: f=0.0143904
BFGS iter 681: f=0.01439
BFGS iter 682: f=0.0143895
BFGS iter 683: f=0.014389
BFGS iter 684: f=0.0143885
BFGS iter 685: f=0.0143878
BFGS iter 686: f=0.0143871
BFGS iter 687: f=0.0143863
BFGS iter 688: f=0.0143857
BFGS iter 689: f=0.0143852
BFGS iter 690: f=0.0143846
BFGS iter 691: f=0.0143841
BFGS iter 692: f=0.0143836
BFGS iter 693: f=0.014383
BFGS iter 694: f=0.0143824
BFGS iter 695: f=0.0143818
BFGS iter 696: f=0.0143813
BFGS iter 697: f=0.0143808
BFGS iter 698: f=0.0143803
BFGS iter 699: f=0.0143798
BFGS iter 700: f=0.0143749
BFGS iter 701: f=0.0143734
BFGS iter 702: f=0.0143729
BFGS iter 703: f=0.0143725
BFGS iter 704: f=0.0143722
BFGS iter 705: f=0.0143719
BFGS iter 706: f=0.0143717
BFGS iter 707: f=0.0143714
BFGS iter 708: f=0.0143711
BFGS iter 709: f=0.0143709
BFGS iter 710: f=0.0143706
BFGS iter 711: f=0.0143703
BFGS iter 712: f=0.0143701
BFGS iter 713: f=0.0143699
BFGS iter 714: f=0.0143696
BFGS iter 715: f=0.0143692
BFGS iter 716: f=0.0143689
BFGS iter 717: f=0.0143686
BFGS iter 718: f=0.0143682
BFGS iter 719: f=0.0143679
BFGS iter 720: f=0.0143676
BFGS iter 721: f=0.0143672
BFGS iter 722: f=0.0143669
BFGS iter 723: f=0.0143664
BFGS iter 724: f=0.0143661
BFGS iter 725: f=0.0143658
BFGS iter 726: f=0.0143655
BFGS iter 727: f=0.0143653
BFGS iter 728: f=0.0143651
BFGS iter 729: f=0.0143648
BFGS iter 730: f=0.0143646
BFGS iter 731: f=0.0143643
BFGS iter 732: f=0.0143641
BFGS iter 733: f=0.0143639
BFGS iter 734: f=0.0143636
BFGS iter 735: f=0.0143635
BFGS iter 736: f=0.0143632
BFGS iter 737: f=0.014363
BFGS iter 738: f=0.0143627
BFGS iter 739: f=0.0143624
BFGS iter 740: f=0.0143621
BFGS iter 741: f=0.0143618
BFGS iter 742: f=0.0143616
BFGS iter 743: f=0.0143613
BFGS iter 744: f=0.0143611
BFGS iter 745: f=0.0143608
BFGS iter 746: f=0.0143605
BFGS iter 747: f=0.0143603
BFGS iter 748: f=0.01436
BFGS iter 749: f=0.0143598
BFGS iter 750: f=0.0143562
BFGS iter 751: f=0.0143554
BFGS iter 752: f=0.0143552
BFGS iter 753: f=0.014355
BFGS iter 754: f=0.0143548
BFGS iter 755: f=0.0143546
BFGS iter 756: f=0.0143543
BFGS iter 757: f=0.0143541
BFGS iter 758: f=0.0143539
BFGS iter 759: f=0.0143536
BFGS iter 760: f=0.0143534
BFGS iter 761: f=0.0143532
BFGS iter 762: f=0.0143529
BFGS iter 763: f=0.0143526
BFGS iter 764: f=0.0143523
BFGS iter 765: f=0.014352
BFGS iter 766: f=0.0143518
BFGS iter 767: f=0.0143515
BFGS iter 768: f=0.0143513
BFGS iter 769: f=0.0143511
BFGS iter 770: f=0.0143508
BFGS iter 771: f=0.0143506
BFGS iter 772: f=0.0143503
BFGS iter 773: f=0.0143501
BFGS iter 774: f=0.0143499
BFGS iter 775: f=0.0143497
BFGS iter 776: f=0.0143495
BFGS iter 777: f=0.0143493
BFGS iter 778: f=0.0143491
BFGS iter 779: f=0.0143489
BFGS iter 780: f=0.0143487
BFGS iter 781: f=0.0143485
BFGS iter 782: f=0.0143482
BFGS iter 783: f=0.014348
BFGS iter 784: f=0.0143478
BFGS iter 785: f=0.0143475
BFGS iter 786: f=0.0143472
BFGS iter 787: f=0.014347
BFGS iter 788: f=0.0143467
